,Cumulative Return,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Buy and Hold,0.6737067237000376,0.16623422064655524,0.267311683998084,0.6218741289578151,-0.31311466402944904
Technical Only,0.337766081782894,0.09077296838985838,0.1096903099580333,0.8275386260152555,-0.094447932120152
Technical + Sentiment,0.21249360664972117,0.05921680306865151,0.09277418484642504,0.6382896617919825,-0.07038543501689615
Full Multi-Agent,0.05227760944556903,0.015330971238366242,0.10250447917328376,0.14956391527485588,-0.14100559390084855
