Date,Open,High,Low,Close,Volume,MA20,MA60,RSI,MACD,MACD_signal,technical_signal,sentiment_score,risk_score,daily_return,buy_hold_return,technical_position,technical_return,tech_sent_position,tech_sent_return,multi_agent_position,multi_agent_return,buy_hold_curve,technical_curve,tech_sent_curve,multi_agent_curve
2021-09-08,156.98,157.04,153.975,155.11,74420210,150.3725,144.61183333333335,64.89682190894342,2.5051305670602915,2.043596625911728,1,0.1,0.4,-0.010083604569532056,-0.010083604569532056,1,-0.010083604569532056,1,-0.010083604569532056,1,-0.010083604569532056,1.036692955487234,1.021603108740038,1.021603108740038,1.036692955487234
2021-09-09,155.49,156.11,153.95,154.07,57305730,150.78300000000002,145.01899999999998,61.354710411786094,2.4518937637155034,2.1252560534724836,1,0.1,0.4,-0.006704919089678407,-0.006704919089678407,1,-0.006704919089678407,1,-0.006704919089678407,1,-0.006704919089678407,1.0297420130998525,1.014753342554172,1.014753342554172,1.0297420130998525
2021-09-10,155.0,155.48,148.7,148.97,140893200,150.78699999999998,145.33266666666665,47.626621250315566,1.9754046013945015,2.0952857630568875,0,0.1,0.4,-0.033101836827416076,-0.033101836827416076,0,-0.033101836827416076,0,-0.033101836827416076,1,-0.033101836827416076,0.9956556610078862,0.9811631429888686,0.9811631429888686,0.9956556610078862
2021-09-13,150.63,151.42,148.75,149.55,102404300,150.8095,145.62866666666667,49.02355004324074,1.625842954545874,2.001397201354685,0,0.1,0.4,0.0038934013559777103,0.0038934013559777103,0,0.0,0,0.0,1,0.0038934013559777103,0.9995321481085412,0.9811631429888686,0.9811631429888686,0.9995321481085412
2021-09-14,150.35,151.07,146.91,148.12,109296300,150.6595,145.92299999999997,45.781313805161986,1.2193676704958705,1.844991295182922,0,0.1,0.4,-0.009562019391507914,-0.009562019391507914,0,-0.0,0,-0.0,1,-0.009562019391507914,0.9899746023258917,0.9811631429888686,0.9811631429888686,0.9899746023258917
2021-09-15,148.56,149.44,146.37,149.03,83281320,150.60150000000002,146.20183333333335,48.132180105336715,0.95960079358494,1.6679131948633257,0,0.1,0.4,0.0061436672967862815,0.0061436672967862815,0,0.0,0,0.0,1,0.0061436672967862815,0.9960566769148503,0.9811631429888686,0.9811631429888686,0.9960566769148503
2021-09-16,148.44,148.97,147.221,148.79,68034150,150.723,146.44866666666667,47.54664445000437,0.7259988154514758,1.4795303189809559,0,0.1,0.4,-0.0016104140106019127,-0.0016104140106019127,0,-0.0,0,-0.0,1,-0.0016104140106019127,0.9944526132869931,0.9811631429888686,0.9811631429888686,0.9944526132869931
2021-09-17,148.82,148.82,145.76,146.06,129868800,150.691,146.65466666666669,41.38005587103174,0.31692605405970653,1.247009465996706,0,0.1,0.4,-0.018348007258552235,-0.018348007258552235,0,-0.0,0,-0.0,1,-0.018348007258552235,0.9762063895201171,0.9811631429888686,0.9811631429888686,0.9762063895201171
2021-09-20,143.8,144.84,141.27,142.94,123478900,150.4285,146.8135,35.68398843821974,-0.2560731299829513,0.9463929468007746,0,0.1,0.4,-0.02136108448582774,-0.02136108448582774,0,-0.0,0,-0.0,1,-0.02136108448582774,0.955353562357973,0.9811631429888686,0.9811631429888686,0.955353562357973
2021-09-21,143.93,144.6,142.78,143.43,75833960,150.1145,146.98549999999997,37.14729128534503,-0.6629975832359207,0.6245148407934356,0,0.1,0.4,0.003428011753183302,0.003428011753183302,0,0.0,0,0.0,1,0.003428011753183302,0.9586285255981817,0.9811631429888686,0.9811631429888686,0.9586285255981817
2021-09-22,144.45,146.43,143.7001,145.85,76404340,149.926,147.17000000000002,43.93204097175361,-0.7812090770012219,0.3433700572345041,0,0.1,0.4,0.016872341908944932,0.016872341908944932,0,0.0,0,0.0,1,0.016872341908944932,0.974802833845742,0.9811631429888686,0.9811631429888686,0.974802833845742
2021-09-23,146.65,147.08,145.64,146.83,64838170,149.84949999999998,147.345,46.45285908609354,-0.7867456139740057,0.11734692299280211,0,0.1,0.4,0.006719232087761595,0.006719232087761595,0,0.0,0,0.0,1,0.006719232087761595,0.9813527603261591,0.9811631429888686,0.9811631429888686,0.9813527603261591
2021-09-24,145.66,147.4701,145.56,146.92,53477870,149.8185,147.511,46.68990764295492,-0.7749381074544317,-0.06111008309664466,0,0.1,0.4,0.0006129537560441989,0.0006129537560441989,0,0.0,0,0.0,1,0.0006129537560441989,0.9819542841866054,0.9811631429888686,0.9811631429888686,0.9819542841866054
2021-09-27,145.47,145.96,143.82,145.37,74150730,149.65699999999998,147.64600000000002,43.14725876761383,-0.8805027321760974,-0.22498861291253522,0,-0.3,0.6,-0.010549959161448297,-0.010549959161448297,0,-0.0,0,-0.0,1,-0.010549959161448297,0.9715947065900274,0.9811631429888686,0.9811631429888686,0.9715947065900274
2021-09-28,143.25,144.75,141.69,141.91,108972300,149.09650000000002,147.6785,36.49113290172658,-1.229187236078502,-0.42582833754572863,0,-0.3,0.6,-0.023801334525693107,-0.023801334525693107,0,-0.0,0,-0.0,1,-0.023801334525693107,0.9484694559550856,0.9811631429888686,0.9811631429888686,0.9484694559550856
2021-09-29,142.47,144.45,142.03,142.83,74602040,148.6465,147.692,39.17787699969788,-1.414974955818849,-0.6236576612003527,0,-0.3,0.6,0.006482982171799101,0.006482982171799101,0,0.0,0,0.0,1,0.006482982171799101,0.9546183665285384,0.9811631429888686,0.9811631429888686,0.9546183665285384
2021-09-30,143.66,144.378,141.28,141.5,89056660,148.096,147.64083333333335,36.75695936982993,-1.6505069304778885,-0.8290275150558599,0,-0.3,0.6,-0.009311769236154954,-0.009311769236154954,0,-0.0,0,-0.0,1,-0.009311769236154954,0.9457291805908294,0.9811631429888686,0.9811631429888686,0.9457291805908294
2021-10-01,141.9,142.92,139.1101,142.65,94639580,147.546,147.631,40.19796932336135,-1.724493441330651,-1.0081207003108181,-1,-0.3,0.6,0.008127208480565473,0.008127208480565473,0,0.0,0,0.0,0,0.008127208480565473,0.9534153188076455,0.9811631429888686,0.9811631429888686,0.9534153188076455
2021-10-04,141.76,142.21,138.27,139.14,98322010,146.788,147.5315,34.09956773307299,-2.042807733977895,-1.2150581070442337,-1,-0.4,0.7,-0.02460567823343862,-0.02460567823343862,0,-0.0,0,-0.0,0,-0.0,0.9299558882502333,0.9811631429888686,0.9811631429888686,0.9534153188076455
2021-10-05,139.49,142.24,139.36,141.11,80861060,146.00900000000001,147.475,39.634875807894815,-2.111768416433989,-1.3944001689221848,-1,-0.4,0.7,0.01415840160988946,0.01415840160988946,0,0.0,0,0.0,0,0.0,0.9431225771955616,0.9811631429888686,0.9811631429888686,0.9534153188076455
2021-10-06,139.47,142.15,138.37,142.0,83221120,145.3535,147.41433333333333,42.0049027271954,-2.070734553213697,-1.5296670457804873,-1,-0.4,0.7,0.006307136276663572,0.006307136276663572,0,0.0,0,0.0,0,0.0,0.9490709798155321,0.9811631429888686,0.9811631429888686,0.9534153188076455
2021-10-07,143.06,144.215,142.72,143.29,61732660,144.8145,147.31666666666666,45.35387054399868,-1.9120814176056342,-1.6061499201455167,-1,-0.4,0.7,0.009084507042253387,0.009084507042253387,0,0.0,0,0.0,0,0.0,0.9576928218152646,0.9811631429888686,0.9811631429888686,0.9534153188076455
2021-10-08,144.03,144.1781,142.56,142.9,58773160,144.51100000000002,147.22366666666667,44.516911325036546,-1.797101537370196,-1.6443402435904526,-1,-0.4,0.7,-0.00272175308814282,-0.00272175308814282,0,-0.0,0,-0.0,0,-0.0,0.9550862184199967,0.9811631429888686,0.9811631429888686,0.9534153188076455
2021-10-11,142.27,144.81,141.81,142.81,64452220,144.174,147.16400000000002,44.31368014178739,-1.6937172831985947,-1.6542156515120812,-1,0.3,0.4,-0.0006298110566830273,-0.0006298110566830273,0,-0.0,0,-0.0,1,-0.0,0.9544846945595502,0.9811631429888686,0.9811631429888686,0.9534153188076455
2021-10-12,143.23,143.25,141.0401,141.51,73035860,143.8435,147.14833333333334,41.37540092929237,-1.6971203059052016,-1.6627965823907054,-1,0.3,0.4,-0.009103003991317249,-0.009103003991317249,0,-0.0,0,-0.0,1,-0.009103003991317249,0.9457960165753234,0.9811631429888686,0.9811631429888686,0.9447363753551565
2021-10-13,141.235,141.4,139.2,140.91,78762720,143.4375,147.061,40.05529800643497,-1.7283093373031875,-1.6758991333732018,-1,0.3,0.4,-0.004239983040067785,-0.004239983040067785,0,-0.0,0,-0.0,1,-0.004239983040067785,0.9417858575056803,0.9811631429888686,0.9811631429888686,0.9407307091463155
2021-10-14,142.11,143.88,141.51,143.76,69907100,143.18599999999998,147.03366666666668,48.46609120780251,-1.505698927859413,-1.6418590922704444,0,0.3,0.4,0.020225675963380763,0.020225675963380763,0,0.0,0,0.0,1,0.020225675963380763,0.9608341130864849,0.9811631429888686,0.9811631429888686,0.9597576236383103
2021-10-15,143.77,144.895,143.51,144.84,67940330,143.125,147.00100000000003,51.257099319576376,-1.2279762546158963,-1.559082524739535,0,0.3,0.4,0.0075125208681137146,0.0075125208681137146,0,0.0,0,0.0,1,0.0075125208681137146,0.9680523994118426,0.9811631429888686,0.9811631429888686,0.9669678228142243
2021-10-18,143.445,146.84,143.16,146.55,85589180,143.3055,146.9675,55.37784309691142,-0.8599829778055437,-1.4192626153527368,0,0.1,0.4,0.011806130903065482,0.011806130903065482,0,0.0,0,0.0,1,0.011806130903065482,0.9794813527603254,0.9811631429888686,0.9811631429888686,0.9783839715094212
2021-10-19,147.01,149.17,146.55,148.76,76378890,143.572,146.96366666666665,60.07553173494921,-0.3855724848309876,-1.212524589248387,0,0.1,0.4,0.015080177413851814,0.015080177413851814,0,0.0,0,0.0,1,0.015080177413851814,0.9942521053335107,0.9811631429888686,0.9811631429888686,0.9931381753786522
2021-10-20,148.7,149.7539,148.12,149.26,58418790,143.7425,147.00516666666667,61.07400357715844,0.030396676158545688,-0.9639403361670005,0,0.1,0.4,0.0033611185802635557,0.0033611185802635557,0,0.0,0,0.0,1,0.0033611185802635557,0.9975939045582133,0.9811631429888686,0.9811631429888686,0.9964762305526864
